etapa,iter,miniIter,est,node,ilha,codigoBarraDE,codigoBarraPARA,capacidade,fluxo,folga
FORWARD,1,1,1,1,1,1,2,500.0,-0.0,-9999.0
FORWARD,1,1,1,1,1,1,4,500.0,51.4,-9999.0
FORWARD,1,1,1,1,1,1,5,500.0,48.6,-9999.0
FORWARD,1,1,1,1,1,2,4,500.0,51.4,-9999.0
FORWARD,1,1,1,1,1,2,6,500.0,48.6,-9999.0
FORWARD,1,1,1,1,1,3,9,170.0,-176.4,-9999.0
FORWARD,1,1,1,1,1,3,24,270.0,276.4,-9999.0
FORWARD,1,1,1,1,1,4,9,500.0,202.8,-9999.0
FORWARD,1,1,1,1,1,5,10,500.0,148.6,-9999.0
FORWARD,1,1,1,1,1,6,10,500.0,148.6,-9999.0
FORWARD,1,1,1,1,1,7,8,500.0,100.0,-9999.0
FORWARD,1,1,1,1,1,8,9,500.0,128.5,-9999.0
FORWARD,1,1,1,1,1,8,10,500.0,71.5,-9999.0
FORWARD,1,1,1,1,1,9,11,500.0,144.5,-9999.0
FORWARD,1,1,1,1,1,9,12,500.0,110.3,-9999.0
FORWARD,1,1,1,1,1,10,11,500.0,201.5,-9999.0
FORWARD,1,1,1,1,1,10,12,500.0,167.3,-9999.0
FORWARD,1,1,1,1,1,11,13,500.0,62.5,-9999.0
FORWARD,1,1,1,1,1,11,14,500.0,283.5,-9999.0
FORWARD,1,1,1,1,1,12,13,500.0,96.7,-9999.0
FORWARD,1,1,1,1,1,12,23,500.0,180.9,-9999.0
FORWARD,1,1,1,1,1,13,23,500.0,84.2,-9999.0
FORWARD,1,1,1,1,1,14,16,500.0,208.5,-9999.0
FORWARD,1,1,1,1,1,15,16,500.0,-17.7,-9999.0
FORWARD,1,1,1,1,1,15,21,500.0,144.1,-9999.0
FORWARD,1,1,1,1,1,15,24,500.0,-201.4,-9999.0
FORWARD,1,1,1,1,1,16,17,500.0,155.9,-9999.0
FORWARD,1,1,1,1,1,16,19,500.0,-40.1,-9999.0
FORWARD,1,1,1,1,1,17,18,500.0,40.4,-9999.0
FORWARD,1,1,1,1,1,17,22,500.0,40.4,-9999.0
FORWARD,1,1,1,1,1,18,21,500.0,-34.6,-9999.0
FORWARD,1,1,1,1,1,19,20,500.0,-115.1,-9999.0
FORWARD,1,1,1,1,1,20,23,500.0,-190.1,-9999.0
FORWARD,1,1,1,1,1,21,22,500.0,34.6,-9999.0
FORWARD,1,2,1,1,1,1,2,500.0,-0.0,-9999.0
FORWARD,1,2,1,1,1,1,4,500.0,59.1,-9999.0
FORWARD,1,2,1,1,1,1,5,500.0,40.9,-9999.0
FORWARD,1,2,1,1,1,2,4,500.0,59.1,-9999.0
FORWARD,1,2,1,1,1,2,6,500.0,40.9,-9999.0
FORWARD,1,2,1,1,1,3,9,170.0,-170.0,340.0
FORWARD,1,2,1,1,1,3,24,270.0,270.0,5.96713789491332e-14
FORWARD,1,2,1,1,1,4,9,500.0,218.2,-9999.0
FORWARD,1,2,1,1,1,5,10,500.0,140.9,-9999.0
FORWARD,1,2,1,1,1,6,10,500.0,140.9,-9999.0
FORWARD,1,2,1,1,1,7,8,500.0,100.0,-9999.0
FORWARD,1,2,1,1,1,8,9,500.0,147.7,-9999.0
FORWARD,1,2,1,1,1,8,10,500.0,52.3,-9999.0
FORWARD,1,2,1,1,1,9,11,500.0,108.6,-9999.0
FORWARD,1,2,1,1,1,9,12,500.0,87.3,-9999.0
FORWARD,1,2,1,1,1,10,11,500.0,204.1,-9999.0
FORWARD,1,2,1,1,1,10,12,500.0,182.8,-9999.0
FORWARD,1,2,1,1,1,11,13,500.0,70.4,-9999.0
FORWARD,1,2,1,1,1,11,14,500.0,289.5,-9999.0
FORWARD,1,2,1,1,1,12,13,500.0,91.6,-9999.0
FORWARD,1,2,1,1,1,12,23,500.0,178.6,-9999.0
FORWARD,1,2,1,1,1,13,23,500.0,86.9,-9999.0
FORWARD,1,2,1,1,1,14,16,500.0,214.5,-9999.0
FORWARD,1,2,1,1,1,15,16,500.0,-22.5,-9999.0
FORWARD,1,2,1,1,1,15,21,500.0,142.5,-9999.0
FORWARD,1,2,1,1,1,15,24,500.0,-195.0,-9999.0
FORWARD,1,2,1,1,1,16,17,500.0,157.5,-9999.0
FORWARD,1,2,1,1,1,16,19,500.0,-40.5,-9999.0
FORWARD,1,2,1,1,1,17,18,500.0,41.2,-9999.0
FORWARD,1,2,1,1,1,17,22,500.0,41.2,-9999.0
FORWARD,1,2,1,1,1,18,21,500.0,-33.8,-9999.0
FORWARD,1,2,1,1,1,19,20,500.0,-115.5,-9999.0
FORWARD,1,2,1,1,1,20,23,500.0,-190.5,-9999.0
FORWARD,1,2,1,1,1,21,22,500.0,33.8,-9999.0
